date,max_temp,min_temp
2025-10-28,15.4,11.3
2025-10-29,16.0,10.3
2025-10-30,13.2,8.5
2025-10-31,17.0,8.6
2025-11-01,15.9,12.8
2025-11-02,13.8,10.0
2025-11-03,15.4,8.2
2025-11-04,17.2,8.7
